0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
* | Occhietto : Opere di Ernesto Haeckel  | 7
* | Illustrazione: Ritratto | 10
* | Frontespizio | 11
* | Indice  | 13
* | Ernesto Haeckel | 23
* | Prefazione alla prima edizione | 27
* | Prefazione all'ottava edizione | 30
* | La natura | 33
* | Storia della creazione naturale | 35
* | Elenco degli scritti enumerati nel testo | 491
* | Spiegazione delle tavole | 495
* | Indice delle voci e degli autori | 507
* | Illustrazione | 515
* | Copertina  | 558
"
156,RAV0106316_TO0324_PRE-65953_000000,"Il metodo dell'evoluzione : esposizione delle condizioni della scienza presente per rapporto alla questione delle leggi e delle forze che hanno prodotto l'origine delle specie / H.W. Conn; traduzione dall'inglese di Giuseppe Nobili","Conn, Herbert William","Torino : Bocca",1907,"* | Copertina | 1
* | Occhietto: Il metodo dell'evoluzione | 3
* | Frontespizio | 5
* | Prefazione | 7
* | Il metodo dell'evoluzione | 11
* | Indice | 369
* | Copertina | 373
"
157,TO01653291_TO0324_88854_000000,"Decapodes nouveaux des cotes d'Arabie et du Golfe Persique (diagnoses preliminaires) / par M. le dr. G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1905,"* | Natantia | 1
* | Latreutidaé | 2
* | Pontoniidae | 2
* | Reptandia | 3
* | Paguridae | 3
* | Porcellanidae | 4
* | Oxytstomata | 5
* | Xanthidae | 5
* | Portunidae | 6
* | Pinnoteridae | 7
"
158,SBL0060941_TO0324_53663_000000,"L'origine dell' uomo e il sentimento religioso : discorso letto in Roma il 2 marzo 1893 alla Societa per l'istruzione della donna / da A. Fogazzaro","Fogazzaro, Antonio","Milano : Galli",1893,"* | Copertina | 1
* | Occhietto: L'origine dell'uomo e il sentimento religioso | 5
* | Frontespizio | 7
* | Avvertenza dell'autore | 9
* | Dedica : Maestà, Signore! Esitai alquanto ... | 13
* | L'origine dell'uomo e il sentimento religioso | 17
* | Estratto dal catalogo della Casa Editrice Gall ... | 115
* | Copertina | 129
"
159,TO01653352_TO0324_88836_000000,"Tre nuovi sferomidi eritrei del Museo Zoologico dell'Universita di Napoli / G. Nobili","Nobili, Giuseppe","Napoli : Tip. Francesco Giannini & figli",1906,"* | Copertina | 1
* | Annuario del museo zoologico della R. Università di Napoli | 3
* | Copertina | 13
"
160,TO01653212_TO0324_88850_000000,"Decapodi e stomatopodi eritrei del Museo Zoologico dell'Universita di Napoli / Giuseppe Nobili","Nobili, Giuseppe","Napoli : Tip. Melfi e Joele ",1901,"* | Copertina  | 1
* | Annuario del museo zoologico della R. Università di Napoli | 3
* | Opere citate nel testo | 21
* | Copertina | 23
"
161,RMS0072430_TO0324_30331_000000,"L'evoluzione studiata nel sistema delle sue cause / G.B. Milesi","Milesi, Giovanni Battista","Torino : fratelli Bocca",1896,"* | Copertina | 1
* | Occhietto: L'evoluzione studiata nel sistema delle sue cause | 5
* | Frontespizio | 7
* | Dedica: Al professore Giovanni Canestrini. Dedica l'autore questo libro col sentimento riconoscente che la scienza tributa ai suoi apostoli ed ai suoi cultori più insigni | 9
* | L'evoluzione studiata nel sistema delle sue cause | 11
* | Epilogo | 543
* | Indice | 553
* | Copertina | 563
"
162,TO01653363_TO0324_88841_000000,"Diagnoses preliminaires de crustaces, decapodes et isopodes nouveaux recueillis par M. le Dr. G. Seurat aux iles Touamotou / par M. le dr. G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1906,"* | Diagnoses préliminares de Crustatcés, Décapoddes et Isopodes nouveaux recueillis   | 1
"
163,CSA0058641_TO0324_54005_000000,"La vita e l' evoluzione delle specie con una tesi sull' evoluzione estesa al corpo dell'uomo / per Alberto Farges; versione italiana sulla 4. ed. francese del teologo Bernardo Elena","Farges, Alberto","Torino : tipografia e libreria salesiana",1896,"* | Copertina | 1
* | Occhietto: La vita e l'evoluzione della specie | 3
* | Frontespizio | 5
* | Il traduttore | 7
* | Dedica: Al diletto Figlio Alberto Farges | 9
* | La vita e l'evoluzione della specie | 13
* | Nota | 213
* | Note del traduttore | 218
* | Indice | 221
* | Errata corrige | 223
* | Copertina | 225
"
164,TO01653356_TO0324_88838_000000,"Decapodi della Guinea spagnola / per il dr. Giuseppe Nobili","Nobili, Giuseppe","Madrid : [s.n.]",1906,"* | Copertina | 1
* | Decapodi della Nuova Guinea spagnuola | 3
* | Copertina | 33
"
165,TO01178274_TO0324_PRE-14881_000000,"La zoologia da Aristotele a Darwin : discorso letto nella distribuzione degli attestati ai licei e ginnasi di Torino nell'anno 1887","Camerano, Lorenzo","Torino : coi tipi Guadagnini e Candellero",1887,"* | Copertina  | 1
* | Frontespizio | 5
* | Uno di quegli ameni personaggi di Rabelais, Pantagruel, ... | 7
* | Copertina  | 31
"
166,TO01653320_TO0324_88842_000000,"Decapodi e Isopodi della Nuova Guinea tedesca : raccolti dal sign. L. Biro / Giuseppe Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1905,"* | Copertina | 1
* | Decapodi e Isopodi della nuova Guinea tedesca  | 4
* | Copertina | 39
"
167,TO01653327_TO0324_88835_000000,"Quatre decapodes nouveaux du Golfe Persique (recoltes de MM. J. Bonnier et Ch. Perez) / par G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1905,"* | Quatre Décapodes nouveaux du Golfe Persique | 1
"
168,TO01653093_TO0324_88849_000000,"Sopra alcuni decapodi terrestri e d'acqua dolce dell'America meridionale : nota / di Giuseppe Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1898,"* | Sopra alcuni decapodi terrestri e d'acqua dolce dell'America Meridionale. Nota di Giuseppe Nobili | 1
"
169,UBO2122483_TO0324_18657_000000,"L' uomo e le scimmie : lezione pubblica detta a Torino la sera dell'11 gennaio 1864 da F. de Filippi","De Filippi, Filippo","Milano : G. Daeli",1864,"* | Copertina | 1
* | Occhietto: Biblioteca nuova pubblicata da G. Daelli. Saggi e riviste n.. L'uomo e le scimmie 3 | 6
* | Illustrazione | 6
* | Frontespizio | 7
* | L'uomo e le scimmie | 9
* | Note | 59
* | Nell'accingersi ad una ristampa di questa edizione l'editore mi domandò se ... | 65
* | Copertina | 75
"
170,TO01653360_TO0324_88834_000000,"Ricerche sui crostacei della Polinesia : decapodi, stomatopodi, anisopodi e isopodi : memoria / del dr. Giuseppe Nobili","Nobili, Giuseppe","Torino : Carlo Clausen",1907,"* | Copertina | 1
* | Frontespizio | 3
* | Il Dr. G. Seurat, incaricato dal Governo francese ... | 5
* | Ordine Decapoda | 6
* | Ordine Stomatopoda | 64
* | Ordine Anisopoda | 65
* | Spiegazione delle tavole | 83
* | Copertina | 93
"
171,PAL0104156_TO0324_52536_000000,"Antropogenia, o Storia dell' evoluzione umana : storia embriologica e genealogica / Ernesto Haeckel; prima traduzione italiana fatta sulla quarta edizione tedesca a cura di Daniele Rosa; Il monismo, quale vincolo fra religione e scienza : professione di fede di un naturalista, pronunciata il 9 ottobre 1892 ad Altenburg in occasione del 75. Giubileo della Naturforschende Gesellschaft des Osterlandes / Ernesto Haeckel; traduzione italiana autorizzata e riveduta dall'autore di Amedeo Herlitzka","Haeckel, Ernst Heinrich","Torino : Unione tipografico-editrice",1895,"* | Copertina | 1
* | Occhietto : Opere di Ernesto Haeckel ... | 5
* | Opere di E. Haeckel già pubblicate  | 6
* | Frontespizio | 7
* | La società editrice | 9
* | Indice delle conferenze e delle illustrazioni | 11
* | Prefazione alla quarta edizione | 21
* | Antropogenia ... | 29
* | Chiusa Apologetica | 641
* | Note osservazioni e indicazioni bibliografiche | 647
* | Indice delle voci e degli autori | 663
* | Occhietto : Il Monismo quale vincolo fra Religione e Scienza | 673
* | Prefazione | 677
* | Il Monismo | 679
* | Annotazioni | 697
* | Tavole | 705
* | Frontespizio | 745
* | Copyright | 746
* | Prefazione | 749
* | Il Monismo | 751
* | Annotazioni | 769
* | Copertina | 779
"
172,PAL0002940_TO0324_PRE-66280_000000,"Storia dell'alfabeto / Edward Clodd; traduzione dall'inglese del dott. Giuseppe Nobili","Clodd, Edward","Torino : F.lli Bocca",1903,"* | Copertina | 1
* | Occhietto: Storia dell'alfabeto | 3
* | Illustrazione | 4
* | Frontespizio | 5
* | Storia dell'Alfabeto | 7
* | Indice alfabetico | 236
* | Indice delle materie | 241
* | Copertina | 243
"
173,TO01653221_TO0324_88846_000000,"Decapodi raccolti dal dr. Filippo Silvestri nel Chile / dal dr. Giuseppe Nobili","Nobili, Giuseppe","[Valparaiso : s.n.]",1902,"* | Decapodi raccolti dal Dr. F. Silvestri nell Chile | 1
"
174,TO01661854_TO0324_88856_000000,"Faune carcinologique de la Mer Rouge : Decapodes et stomatopodes / par le Dr. G. Nobili","Nobili, Giuseppe","Paris : Masson et C.",1906,"* | Copertina | 1
* | Occhietto : Annales des sciences naturelles. Neuvieme serie. Zoologie | 3
* | Frontespizio | 5
* | Faune carcinologique de la mer Rouge. Décapodes et Stomatopodes | 7
* | Appendice | 371
* | Explication des planches | 373
* | Copertina | 376
"
175,TO01653324_TO0324_88843_000000,"Note synonymique sur Actaea kraussi A.M.E. nec Heller / par le dr. G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1905,"* | Note synonymique sur Actea Kraussi A. M. E. nec Heller   | 1
"
176,TO01653028_TO0324_88851_000000,"La Fragaria indica Andr. e l'Erigeron subulatum Michx in Piemonte / Giuseppe Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1894,"* | Bollettino del naturalista collettore, allevatore, coltivatore. Supplemento mensile alla Rivista Italiana di Scienze Naturali | 1
"
177,TO01653277_TO0324_88845_000000,"Description d' une nouvelle espece de Pseudothelphusa recueillie par M. F. Geay dans la Guyane francaise / par M. le dr. G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1904,"* | Description d'une nouvelle espèce de Pseudothelphusa recueille  | 1
"
178,TO01653347_TO0324_88844_000000,"Crustaces decapodes et stomatopodes : mission J. Bonnier et Ch. Perez (Golfe Persique, 1901) / par le docteur G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1906,"* | Crustacés Décapodes et Stomatopodes | 1
* | Decapoda | 4
* | Stomatopoda | 145
"
179,PUV0387717_TO0324_26312_000000,"Il meccanismo dell'evoluzione e della degenerazione delle specie animali e dell'uomo : nuovo saggio in rapporto alla sociologia / per il dott. prof. Francesco Magri","Magri, Francesco","Bologna : Stabilimento tipografico Zamorani e Albertazzi",1893,"* | Copertina | 1
* | Frontespizio | 5
* | Introduzione | 7
* | Il meccanismo dell'evoluzione ... | 11
* | Appendice al cap. III, p. II p.. Basi anatomiche della "necrosi criminale" 67 | 48
* | Indice | 71
* | Copertina | 75
"
180,TO01046273_TO0324_26825_000000,"Darwin e le sue illusioni : dissertazione","Marenzi, Francesco","Gorizia : Mailing",1875,"* | Copertina  | 1
* | Frontespizio | 3
* | Darwin e le sue illusioni | 5
* | Copertina | 29
"
181,PUV0237951_TO0324_PNI-23_000000,"Le civiltà estinte dell'Oriente / Roberto E. Anderson; traduzione dall'inglese del dr. Giuseppe Nobili","Anderson, Robert Edward","Torino : F.lli Bocca",1903,"* | Copertina | 1
* | Frontespizio | 5
* | Indice | 7
* | Introduzione | 9
* | Le Civiltà estinte dell'Oriente | 15
* | Indice delle materie | 241
* | Copertina | 248
"
182,TO01653328_TO0324_88833_000000,"Diagnoses preliminaires de 34 especes et varietes nouvelles, et de 2 genres nouveaux de decapodes de la Mer Rouge / par G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1905,"* | Diagnoses préliminares de espéces et variétés nouvelles et de 9 genres nouveux de décapodes de la Mer Rouge 1 | 34
"
183,CAG0106278_TO0324_PRE-66841_000000,"Il Ruwenzori : viaggio di esplorazione e prime ascensioni delle piu alte vette nella catena nevosa situata fra i piu grandi laghi equatoriali dell'Africa centrale / S. A. R. il principe Luigi Amedeo di Savoia; relazione di Filippo de Filippi; illustrata da Vittorio Sella","Savoia, Luigi Amedeo : di","Milano : U. Hoepli",1908,"* | Copertina | 1
* | Occhietto : Il Ruwenzori | 7
* | Illustrazione | 10
* | Frontespizio | 11
* | Dedica : A sua maestà la regina madre Margherita di Savoia è rispettosamente dedicato questo libro ove è narrata l'impresa che da lei ebbe la bandiera ed il motto inspiratore "ardisci e spera" | 13
* | Questo libro è il racconto particolareggiato della campagna ... | 15
* | Indice | 17
* | Illustrazione | 21
* | Viaggio di esplorazione ... | 23
* | Nota | 354
* | Appendici | 355
* | Osservazioni magnetiche | 453
* | Collocazione delle tavole fuori testo dei panorami e delle carte | 455
* | Copertina | 461
"
184,TO01036673_TO0324_25289_000000,"Le transformisme (theorie de Ch. Darwin) / par le chevalier Dr M. Macario","Macario, Maurizio Martino Antonio","Nice : impr. de Caisson et Mignon",1874,"* | Copertina | 1
* | Frontespizio | 3
* | Le transformisme (théorie de Ch. Darwin) | 5
* | Ouvrages du docteur Macario | 59
* | Copertina | 61
"
185,TO01653287_TO0324_88840_000000,"Note sur Ocypoda fabricii Milne Edwards / par M. le dr. G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1905,"* | Note sur Ocypoda fabricii Milne Edwards | 1
"
186,TO01653229_TO0324_88837_000000,"Crostacei : osservazioni / del dr. Giuseppe Nobili","Nobili, Giuseppe","Milano : Hoepli",1903,"* | Copertina | 1
* | Frontespizio | 3
* | Crostacei | 5
* | Copertina | 11
"
187,UM10017543_TO0324_40945_000003,"3: Supplemento perenne alla Nuova enciclopedia popolare italiana ossia Rivista annuale letteraria scientifica industriale per integrare e ammodernare l'opera maggiore [...] : 1867-68","nan","Torino ; Napoli : dalla Societa l'Unione tipografico-editrice",1869,"* | Copertina | 1
* | Occhietto : Supplemento perenne alla nuova enciclopedia popolare italiana | 5
* | Frontespizio | 7
* | Prefazione | 9
* | Tavola sistematica dei paragrafi dell'indice | 17
* | Supplemento perenne alla nuova enciclopedia popolare italiana | 21
* | Illustrazioni | 725
* | Copertina | 737
"
188,PUV0576775_TO0324_40949_000007,"7: Supplemento perenne alla nuova enciclopedia popolare italiana ossia rivista annuale letteraria, scientifica, industriale per integrare e ammodernare l'opera maggiore ... : 1871-1872","nan","Napoli Roma : Unione tipografico-editrice torinese",1873,"* | Copertina | 1
* | Occchietto : Supplemento perenne alla Nuova enciclopedia popolare italiana | 5
* | Frontespizio | 7
* | Prefazione | 9
* | Indice metodico | 21
* | Indice alfabetico | 45
* | Errata corrige | 52
* | Supplemento perenne alla Nuova enciclopedia popolare italiana | 53
* | Illustrazioni | 840
* | Copertina | 855
"
189,PUV0576776_TO0324_40950_000008,"8: Supplemento perenne alla nuova enciclopedia popolare italiana ossia rivista annuale letteraria, scientifica, industriale per integrare e ammodernare l'opera maggiore (...) : 1872-1873","nan","Napoli Roma : Unione tipografico-editrice torinese",1874,"* | Copertina | 1
* | Occhietto : Supplemeto perenne alla nuova enciclopedia popolare italiana | 5
* | Frontespizio | 7
* | Al cortese lettore | 9
* | Tavola sistematica dei paragrafi dell'indice | 11
* | Supplemeto perenne alla nuova enciclopedia popolare italiana | 37
* | Appendice | 727
* | Erreta corrige | 748
* | Illustrazioni | 749
* | Copertina | 763
"
190,UM10017552_TO0324_40947_000005,"5: Supplemento perenne alla Nuova enciclopedia popolare italiana ossia Rivista annuale letteraria, scientifica, industriale per integrare e ammodernare l'opera maggiore [...] : 1869-1870","nan","Torino ; Napoli : dalla Societa l'Unione tipografico-editrice",1871,"* | Copertina | 1
* | Occhietto : Supplemento perenne alla nuova enciclopedia popolare italiana | 5
* | Frontespizio | 7
* | Prefazione | 9
* | Indice metodico | 21
* | Indice alfabetico | 37
